neighbourhood,Essentials,Wireless Internet,Washer / Dryer,Hangers,First Aid Kit,Wheelchair Accessible,Smoke Detector,Buzzer/Wireless Intercom,TV,Smoking Allowed,Gym,Air Conditioning,Hot Tub,Pool,Kitchen,Family/Kid Friendly,24-Hour Check-in,Indoor Fireplace,Shampoo,Heating,Hair Dryer,Carbon Monoxide Detector,Safety Card,Iron,Pets Allowed,Fire Extinguisher,Doorman,Lock on Bedroom Door,Laptop Friendly Workspace,Other pet(s),Dog(s),Elevator in Building,Breakfast,Free Parking on Premises,Cat(s),Pets live on this property,price,availability_30,review_scores_rating
Alamo Square,0.771929824561,0.947368421053,0.0,0.385964912281,0.350877192982,0.0175438596491,0.850877192982,0.333333333333,0.771929824561,0.0438596491228,0.0263157894737,0.0877192982456,0.0175438596491,0.0,0.877192982456,0.517543859649,0.333333333333,0.149122807018,0.640350877193,0.824561403509,0.412280701754,0.59649122807,0.19298245614,0.377192982456,0.122807017544,0.657894736842,0.00877192982456,0.0701754385965,0.464912280702,0.0,0.131578947368,0.0526315789474,0.0438596491228,0.114035087719,0.0614035087719,0.201754385965,360.894736842,6.31578947368,95.3846153846
Balboa Terrace,0.927272727273,0.945454545455,0.0,0.4,0.6,0.0363636363636,0.945454545455,0.0727272727273,0.672727272727,0.0181818181818,0.0545454545455,0.181818181818,0.0909090909091,0.0,0.781818181818,0.545454545455,0.327272727273,0.254545454545,0.509090909091,0.981818181818,0.381818181818,0.763636363636,0.363636363636,0.418181818182,0.109090909091,0.709090909091,0.0,0.109090909091,0.4,0.0,0.127272727273,0.0545454545455,0.236363636364,0.709090909091,0.0727272727273,0.236363636364,232.090909091,10.8545454545,92.8604651163
Bayview,0.72,0.93,0.0,0.53,0.49,0.03,0.76,0.2,0.7,0.09,0.04,0.11,0.05,0.0,0.82,0.45,0.44,0.15,0.6,0.88,0.52,0.67,0.2,0.55,0.16,0.53,0.01,0.16,0.49,0.02,0.22,0.12,0.1,0.48,0.06,0.29,154.23,7.08,91.2597402597
Bernal Heights,0.845945945946,0.981081081081,0.0,0.52972972973,0.451351351351,0.0135135135135,0.862162162162,0.135135135135,0.72972972973,0.0432432432432,0.0135135135135,0.0567567567568,0.0621621621622,0.0,0.889189189189,0.605405405405,0.375675675676,0.183783783784,0.702702702703,0.951351351351,0.483783783784,0.67027027027,0.2,0.486486486486,0.12972972973,0.618918918919,0.0027027027027,0.102702702703,0.513513513514,0.0108108108108,0.181081081081,0.00540540540541,0.0675675675676,0.345945945946,0.137837837838,0.302702702703,208.494594595,5.41081081081,95.5800711744
Chinatown,0.775,0.8875,0.0125,0.55,0.3,0.1375,0.775,0.125,0.6875,0.0375,0.3625,0.55,0.025,0.025,0.625,0.45,0.3875,0.0875,0.45,0.85,0.4625,0.625,0.2625,0.475,0.025,0.5125,0.2125,0.1,0.5125,0.0,0.025,0.5,0.05,0.0125,0.0,0.025,200.1875,5.5875,90.1666666667
Civic Center,0.636363636364,0.969696969697,0.0,0.424242424242,0.151515151515,0.212121212121,0.818181818182,0.333333333333,0.787878787879,0.030303030303,0.575757575758,0.212121212121,0.0909090909091,0.121212121212,0.969696969697,0.212121212121,0.212121212121,0.0606060606061,0.636363636364,0.878787878788,0.30303030303,0.393939393939,0.121212121212,0.212121212121,0.121212121212,0.151515151515,0.424242424242,0.151515151515,0.30303030303,0.0,0.151515151515,0.818181818182,0.0606060606061,0.121212121212,0.121212121212,0.212121212121,213.666666667,5.33333333333,92.8
Cole Valley,0.761467889908,0.94495412844,0.0,0.422018348624,0.403669724771,0.0,0.733944954128,0.183486238532,0.770642201835,0.0275229357798,0.00917431192661,0.0825688073394,0.045871559633,0.0,0.926605504587,0.495412844037,0.266055045872,0.220183486239,0.587155963303,0.899082568807,0.366972477064,0.522935779817,0.183486238532,0.293577981651,0.119266055046,0.577981651376,0.0,0.0366972477064,0.357798165138,0.00917431192661,0.155963302752,0.0183486238532,0.0550458715596,0.155963302752,0.0642201834862,0.211009174312,315.52293578,7.04587155963,94.1728395062
Cow Hollow,0.78021978022,0.945054945055,0.0,0.384615384615,0.230769230769,0.0,0.681318681319,0.32967032967,0.868131868132,0.010989010989,0.010989010989,0.0879120879121,0.021978021978,0.0,0.879120879121,0.318681318681,0.340659340659,0.208791208791,0.56043956044,0.846153846154,0.351648351648,0.483516483516,0.0989010989011,0.296703296703,0.164835164835,0.417582417582,0.0,0.0549450549451,0.395604395604,0.0,0.0769230769231,0.0659340659341,0.032967032967,0.153846153846,0.0,0.0769230769231,320.153846154,6.89010989011,94.296875
Crocker Amazon,0.911764705882,0.941176470588,0.0,0.5,0.382352941176,0.176470588235,0.882352941176,0.0,0.735294117647,0.0,0.0,0.0882352941176,0.0588235294118,0.0,0.823529411765,0.588235294118,0.294117647059,0.0882352941176,0.735294117647,0.882352941176,0.411764705882,0.470588235294,0.147058823529,0.441176470588,0.117647058824,0.529411764706,0.0,0.147058823529,0.411764705882,0.0294117647059,0.117647058824,0.0588235294118,0.0588235294118,0.352941176471,0.0882352941176,0.147058823529,152.970588235,8.26470588235,90.25
Daly City,1.0,1.0,0.0,0.888888888889,0.222222222222,0.0,1.0,0.0,0.555555555556,0.0,0.0,0.444444444444,0.0,0.0,1.0,0.222222222222,0.666666666667,0.0,1.0,0.888888888889,0.888888888889,0.666666666667,0.111111111111,1.0,0.0,0.222222222222,0.0,0.666666666667,0.888888888889,0.0,0.0,0.0,0.111111111111,0.666666666667,0.0,0.0,89.3333333333,21.2222222222,
